,age,job,marital,education,housing,loan
0,56,housemaid,married,basic.4y,no,no
1,57,services,married,high.school,no,no
2,37,services,married,high.school,yes,no
3,40,admin.,married,basic.6y,no,no
4,56,services,married,high.school,no,yes
5,45,services,married,basic.9y,no,no
6,59,admin.,married,professional.course,no,no
7,41,blue-collar,married,unknown,no,no
8,24,technician,single,professional.course,yes,no
9,25,services,single,high.school,yes,no
10,41,blue-collar,married,unknown,no,no
11,25,services,single,high.school,yes,no
12,29,blue-collar,single,high.school,no,yes
13,57,housemaid,divorced,basic.4y,yes,no
14,35,blue-collar,married,basic.6y,yes,no
15,54,retired,married,basic.9y,yes,yes
16,35,blue-collar,married,basic.6y,yes,no
17,46,blue-collar,married,basic.6y,yes,yes
18,50,blue-collar,married,basic.9y,yes,yes
19,39,management,single,basic.9y,no,no
20,30,unemployed,married,high.school,no,no
21,55,blue-collar,married,basic.4y,yes,no
22,55,retired,single,high.school,yes,no
23,41,technician,single,high.school,yes,no
24,37,admin.,married,high.school,yes,no
25,35,technician,married,university.degree,no,yes
26,59,technician,married,unknown,yes,no
27,39,self-employed,married,basic.9y,no,no
28,54,technician,single,university.degree,no,no
29,55,unknown,married,university.degree,unknown,unknown
30,46,admin.,married,unknown,no,no
31,59,technician,married,unknown,yes,no
32,49,blue-collar,married,unknown,no,no
33,54,management,married,basic.4y,yes,no
34,54,blue-collar,divorced,basic.4y,no,no
35,55,unknown,married,basic.4y,yes,no
36,34,services,married,high.school,no,no
37,52,technician,married,basic.9y,yes,no
38,41,admin.,married,university.degree,yes,no
39,56,technician,married,basic.4y,yes,no
40,58,management,unknown,university.degree,yes,no
41,32,entrepreneur,married,high.school,yes,no
42,38,admin.,single,professional.course,no,no
43,57,admin.,married,university.degree,no,yes
44,44,admin.,married,university.degree,yes,no
45,42,technician,single,professional.course,no,no
46,57,admin.,married,university.degree,yes,yes
47,40,blue-collar,married,basic.9y,no,yes
48,35,admin.,married,university.degree,yes,no
49,45,blue-collar,married,basic.9y,yes,no
50,54,admin.,married,high.school,no,no
51,39,housemaid,married,basic.4y,no,yes
52,60,admin.,married,high.school,no,no
53,53,admin.,single,professional.course,no,no
54,55,blue-collar,married,basic.4y,no,no
55,55,technician,married,professional.course,yes,no
